Type, N, Time(ms)
DIV,1000,4.3178
DIV,2000,8.50955
DIV,3000,13.1481
DIV,4000,17.817
DIV,5000,24.0254
DIV,6000,27.9102
DIV,7000,27.4773
DIV,8000,29.061
DIV,9000,33.8377
DIV,10000,38.3137
