Type, N, Time(ms)
DIV,1000,4.0454
DIV,2000,9.5392
DIV,3000,18.1209
DIV,4000,21.1029
DIV,5000,24.0835
DIV,6000,30.7332
DIV,7000,35.0782
DIV,8000,37.8561
DIV,9000,42.7165
DIV,10000,47.8254
VIO,1000,77.2194
VIO,2000,308.789
VIO,3000,693.049
VIO,4000,1232.25
VIO,5000,1924.21
VIO,6000,2767.56
VIO,7000,3820.13
VIO,8000,4983.44
VIO,9000,6341.32
VIO,10000,7753
