Type, N, Time(ms)
DIV,1000,4.8151
DIV,2000,12.1286
DIV,3000,21.4696
DIV,4000,29.3284
DIV,5000,41.0156
DIV,6000,54.5893
DIV,7000,63.1112
DIV,8000,50.197
DIV,9000,60.9806
DIV,10000,60.3067
VIO,1000,84.2153
VIO,2000,328.019
VIO,3000,731.913
VIO,4000,1302.35
VIO,5000,1921
